iter	Passed	Remaining
0	50	50710
1	52	26017
2	53	17783
3	54	13573
4	56	11145
5	57	9469
6	57	8190
7	58	7242
8	59	6500
9	59	5903
10	60	5415
11	60	5007
12	61	4668
13	62	4397
14	63	4139
15	63	3911
16	64	3710
17	64	3535
18	65	3379
19	66	3236
20	66	3107
21	67	2987
22	67	2876
23	68	2775
24	68	2681
25	69	2592
26	69	2511
27	70	2437
28	70	2368
29	71	2306
30	71	2246
31	72	2191
32	73	2140
33	73	2092
34	74	2046
35	74	2001
36	75	1957
37	75	1916
38	76	1879
39	76	1843
40	77	1810
41	77	1778
42	78	1748
43	79	1718
44	79	1689
45	80	1663
46	80	1635
47	81	1608
48	81	1583
49	82	1559
50	82	1537
51	83	1514
52	83	1493
53	84	1472
54	84	1453
55	85	1434
56	85	1416
57	86	1398
58	86	1382
59	87	1365
60	87	1349
61	88	1332
62	88	1316
63	89	1301
64	89	1287
65	89	1273
66	90	1259
67	90	1246
68	91	1233
69	91	1220
70	92	1208
71	92	1196
72	93	1184
73	93	1173
74	94	1161
75	94	1150
76	95	1140
77	95	1129
78	96	1119
79	96	1110
80	97	1101
81	97	1092
82	98	1083
83	98	1074
84	99	1066
85	99	1057
86	99	1049
87	100	1040
88	100	1032
89	101	1024
90	101	1016
91	102	1009
92	102	1002
93	103	993
94	103	987
95	104	980
96	104	974
97	105	967
98	105	961
99	106	954
100	106	947
101	106	941
102	107	935
103	107	929
104	108	923
105	108	917
106	109	912
107	109	906
108	110	901
109	110	896
110	111	889
111	111	883
112	111	878
113	112	875
114	113	870
115	113	865
116	114	860
117	114	855
118	114	850
119	115	845
120	115	841
121	116	837
122	116	832
123	117	828
124	117	824
125	118	823
126	119	819
127	119	815
128	120	812
129	120	808
130	121	804
131	121	800
132	122	797
133	122	794
134	123	790
135	123	787
136	124	783
137	124	780
138	125	776
139	125	773
140	126	769
141	126	766
142	127	763
143	127	759
144	128	756
145	128	753
146	129	750
147	129	747
148	130	744
149	130	741
150	131	738
151	131	734
152	132	731
153	132	728
154	133	725
155	133	722
156	134	719
157	134	717
158	135	714
159	135	711
160	136	708
161	136	706
162	136	703
163	137	700
164	137	697
165	138	695
166	138	692
167	139	689
168	139	686
169	140	684
170	140	681
171	141	679
172	141	675
